keybind,description
\f            ,Toggle NERDTree
\t            ,Toggle terminal
\u            ,Toggle undotree
%             ,Jump to match (HTML tag or brackets)
ci(           ,Replace inside parenthesis
ddp           ,Move current line down one row
~             ,Switch case of selection
D             ,Delete rest of line
g;            ,Jump to last edited location
q:            ,View command history (then press <enter> to run)
q/            ,View search history (then press <enter> to run)
<ctrl>a       ,Increment number under cursor (opposite is <ctrl>x)
<ctrl>g       ,View current file path (useful with Ggrep search)
K             ,Show documentation for object under cursor  
gd            ,Goto defintion
gi            ,Goto implementation
\rn           ,Rename symbol
CTRL-<space>  ,Start completion in insert mode
\\a           ,Move selected code to function
af            ,Select function (in visual mode)
ac            ,Select class (in visual mode)
<space>o      ,List all symbols in current document
:Ggrep        ,Search through all files in repo that are not gitignored
]q            ,Next match in Ggrep serach
[q            ,Previous match in Ggrep search
:sad_face:    ,Add an emoji (in insert mode)
:UnescapeJSON ,Take selected nested JSON string and unescape it
:NewJSONBuffer,Pull selection and format as json in new buffer
CTRL-l        ,Clear terminal (in terminal mode)
